Giver	Year	Recipient	Points
Cyprus	2010	Greece	12
Cyprus	2010	Georgia	5
Cyprus	2010	Ukraine	6
Cyprus	2010	France	3
Cyprus	2010	Romania	8
Cyprus	2010	Armenia	7
Cyprus	2010	Germany	4
Cyprus	2010	Israel	2
Denmark	1978	France	8
Denmark	1978	Spain	12
Denmark	1978	Switzerland	3
Denmark	1978	Netherlands	5
Denmark	1978	Germany	1
Denmark	1978	Monaco	10
Denmark	1978	Greece	4
Denmark	1978	Luxembourg	7
Denmark	1978	Israel	6
Denmark	1978	Austria	2
Denmark	1979	Ireland	5
Denmark	1979	Monaco	4
Denmark	1979	Greece	1
Denmark	1979	Switzerland	7
Denmark	1979	Germany	12
Denmark	1979	Israel	6
Denmark	1979	Belgium	2
Denmark	1979	Netherlands	8
Denmark	1979	United Kingdom	10
Denmark	1979	Spain	3
Denmark	1980	Austria	5
Denmark	1980	Greece	2
Denmark	1980	Luxembourg	4
Denmark	1980	Italy	3
Denmark	1980	Switzerland	8
Denmark	1980	Germany	7
Denmark	1980	United Kingdom	10
Denmark	1980	Portugal	6
Denmark	1980	France	1
Denmark	1980	Ireland	12
Denmark	1981	Austria	1
Denmark	1981	Germany	8
Denmark	1981	France	2
Denmark	1981	Netherlands	7
Denmark	1981	Ireland	12
Denmark	1981	United Kingdom	10
Denmark	1981	Belgium	6
Denmark	1981	Cyprus	3
Denmark	1981	Switzerland	4
Denmark	1981	Sweden	5
Denmark	1982	Luxembourg	4
Denmark	1982	United Kingdom	2
Denmark	1982	Switzerland	7
Denmark	1982	Sweden	8
Denmark	1982	Austria	6
Denmark	1982	Belgium	10
Denmark	1982	Yugoslavia	3
Denmark	1982	Israel	1
Denmark	1982	Ireland	5
Denmark	1982	Germany	12
Denmark	1983	Norway	8
Denmark	1983	United Kingdom	5
Denmark	1983	Sweden	10
Denmark	1983	Netherlands	4
Denmark	1983	Yugoslavia	12
Denmark	1983	Cyprus	1
Denmark	1983	Germany	3
Denmark	1983	Israel	7
Denmark	1983	Austria	6
Denmark	1983	Luxembourg	2
Denmark	1984	Sweden	12
Denmark	1984	Luxembourg	5
Denmark	1984	Spain	7
Denmark	1984	United Kingdom	1
Denmark	1984	Cyprus	10
Denmark	1984	Ireland	3
Denmark	1984	Austria	4
Denmark	1984	Germany	2
Denmark	1984	Finland	6
Denmark	1984	Switzerland	8
Denmark	1985	Ireland	3
Denmark	1985	Germany	10
Denmark	1985	Israel	4
Denmark	1985	Italy	1
Denmark	1985	Norway	12
Denmark	1985	United Kingdom	5
Denmark	1985	Switzerland	6
Denmark	1985	Sweden	8
Denmark	1985	Austria	7
Denmark	1985	Luxembourg	2
Denmark	1986	Luxembourg	2
Denmark	1986	Norway	5
Denmark	1986	United Kingdom	8
Denmark	1986	Spain	3
Denmark	1986	Switzerland	4
Denmark	1986	Ireland	12
Denmark	1986	Belgium	10
Denmark	1986	Germany	7
Denmark	1986	Sweden	6
Denmark	1986	Portugal	1
Denmark	1987	Norway	3
Denmark	1987	Sweden	7
Denmark	1987	Greece	6
Denmark	1987	Netherlands	2
Denmark	1987	United Kingdom	4
Denmark	1987	Germany	12
Denmark	1987	Cyprus	10
Denmark	1987	Ireland	5
Denmark	1987	Yugoslavia	8
Denmark	1987	Switzerland	1
Denmark	1988	Iceland	4
Denmark	1988	Sweden	8
Denmark	1988	United Kingdom	10
Denmark	1988	Spain	1
Denmark	1988	Ireland	7
Denmark	1988	Germany	6
Denmark	1988	Norway	5
Denmark	1988	Luxembourg	2
Denmark	1988	France	3
Denmark	1988	Yugoslavia	12
Denmark	1989	Israel	5
Denmark	1989	United Kingdom	1
Denmark	1989	Norway	6
Denmark	1989	Sweden	12
Denmark	1989	Austria	4
Denmark	1989	France	3
Denmark	1989	Cyprus	8
Denmark	1989	Switzerland	2
Denmark	1989	Germany	7
Denmark	1989	Yugoslavia	10
Denmark	1990	United Kingdom	3
Denmark	1990	Iceland	10
Denmark	1990	Norway	1
Denmark	1990	Switzerland	12
Denmark	1990	Germany	4
Denmark	1990	France	5
Denmark	1990	Yugoslavia	7
Denmark	1990	Ireland	8
Denmark	1990	Italy	6
Denmark	1990	Cyprus	2
Denmark	1991	Switzerland	5
Denmark	1991	Luxembourg	4
Denmark	1991	Sweden	12
Denmark	1991	Turkey	8
Denmark	1991	Ireland	7
Denmark	1991	Portugal	1
Denmark	1991	Norway	2
Denmark	1991	Israel	10
Denmark	1991	Germany	6
Denmark	1991	United Kingdom	3
Denmark	1992	Spain	1
Denmark	1992	Israel	2
Denmark	1992	Sweden	4
Denmark	1992	Malta	8
Denmark	1992	Iceland	5
Denmark	1992	Austria	7
Denmark	1992	United Kingdom	12
Denmark	1992	Ireland	10
Denmark	1992	Norway	6
Denmark	1992	Germany	3
Denmark	1993	Germany	3
Denmark	1993	Switzerland	10
Denmark	1993	Malta	5
Denmark	1993	Iceland	4
Denmark	1993	Portugal	1
Denmark	1993	France	12
Denmark	1993	Sweden	7
Denmark	1993	Ireland	6
Denmark	1993	United Kingdom	8
Denmark	1993	Cyprus	2
Denmark	1995	Ireland	1
Denmark	1995	Bosnia-Herzegovina	3
Denmark	1995	Norway	2
Denmark	1995	Iceland	8
Denmark	1995	Austria	10
Denmark	1995	France	6
Denmark	1995	United Kingdom	7
Denmark	1995	Cyprus	5
Denmark	1995	Sweden	12
Denmark	1995	Malta	4
Denmark	1997	Cyprus	7
Denmark	1997	Ireland	10
Denmark	1997	Italy	4
Denmark	1997	Spain	2
Denmark	1997	Poland	5
Denmark	1997	Estonia	8
Denmark	1997	Sweden	6
Denmark	1997	Malta	3
Denmark	1997	France	1
Denmark	1997	United Kingdom	12
Denmark	1999	United Kingdom	1
Denmark	1999	Norway	6
Denmark	1999	Netherlands	7
Denmark	1999	Iceland	12
Denmark	1999	Sweden	10
Denmark	1999	Austria	3
Denmark	1999	Israel	2
Denmark	1999	Germany	5
Denmark	1999	Bosnia-Herzegovina	8
Denmark	1999	Estonia	4
Denmark	2000	Estonia	4
Denmark	2000	Malta	3
Denmark	2000	Norway	7
Denmark	2000	Russia	6
Denmark	2000	Iceland	12
Denmark	2000	Germany	2
Denmark	2000	Sweden	10
Denmark	2000	Latvia	8
Denmark	2000	Turkey	1
Denmark	2000	Ireland	5
Denmark	2001	Iceland	2
Denmark	2001	Bosnia-Herzegovina	7
Denmark	2001	Sweden	10
Denmark	2001	France	6
Denmark	2001	Turkey	3
Denmark	2001	Poland	1
Denmark	2001	Germany	4
Denmark	2001	Estonia	8
Denmark	2001	Malta	12
Denmark	2001	Greece	5
Denmark	2002	United Kingdom	6
Denmark	2002	Estonia	8
Denmark	2002	Israel	1
Denmark	2002	Sweden	10
Denmark	2002	Finland	3
Denmark	2002	Bosnia-Herzegovina	2
Denmark	2002	Belgium	4
Denmark	2002	France	5
Denmark	2002	Malta	12
Denmark	2002	Latvia	7
Denmark	2004	Serbia & Montenegro	7
Denmark	2004	Malta	1
Denmark	2004	Albania	4
Denmark	2004	Ukraine	5
Denmark	2004	Bosnia-Herzegovina	8
Denmark	2004	Greece	3
Denmark	2004	Iceland	2
Denmark	2004	Cyprus	6
Denmark	2004	Turkey	10
Denmark	2004	Sweden	12
Denmark	2005	Malta	10
Denmark	2005	Romania	3
Denmark	2005	Norway	12
Denmark	2005	Turkey	8
Denmark	2005	Israel	5
Denmark	2005	Sweden	7
Denmark	2005	Greece	2
Denmark	2005	Bosnia-Herzegovina	4
Denmark	2005	Switzerland	1
Denmark	2005	Latvia	6
Denmark	2006	Norway	1
Denmark	2006	Germany	3
Denmark	2006	Russia	2
Denmark	2006	Romania	6
Denmark	2006	Bosnia-Herzegovina	8
Denmark	2006	Lithuania	7
Denmark	2006	United Kingdom	4
Denmark	2006	Finland	12
Denmark	2006	Ireland	5
Denmark	2006	Sweden	10
Denmark	2007	Serbia	6
Denmark	2007	Ukraine	3
Denmark	2007	Russia	2
Denmark	2007	Turkey	10
Denmark	2007	Greece	1
Denmark	2007	Hungary	8
Denmark	2007	Bosnia-Herzegovina	7
Denmark	2007	Finland	4
Denmark	2007	Sweden	12
Denmark	2007	Germany	5
Denmark	2008	Bosnia-Herzegovina	2
Denmark	2008	Iceland	12
Denmark	2008	Turkey	4
Denmark	2008	Latvia	6
Denmark	2008	Sweden	8
Denmark	2008	Ukraine	7
Denmark	2008	France	5
Denmark	2008	Greece	3
Denmark	2008	Spain	1
Denmark	2008	Norway	10
Denmark	2009	Lithuania	1
Denmark	2009	France	2
Denmark	2009	Sweden	4
Denmark	2009	Iceland	10
Denmark	2009	Azerbaijan	8
Denmark	2009	Estonia	5
Denmark	2009	Germany	7
Denmark	2009	Turkey	6
Denmark	2009	Norway	12
Denmark	2009	United Kingdom	3
Denmark	2010	Azerbaijan	2
Denmark	2010	Norway	5
Denmark	2010	Cyprus	1
Denmark	2010	Belgium	10
Denmark	2010	Turkey	6
Denmark	2010	Iceland	3
Denmark	2010	France	7
Denmark	2010	Romania	8
Denmark	2010	Germany	12
Denmark	2010	Portugal	4
Estonia	1994	Sweden	2
Estonia	1994	Ireland	10
Estonia	1994	United Kingdom	5
Estonia	1994	Malta	7
Estonia	1994	Germany	3
Estonia	1994	Norway	8
Estonia	1994	Hungary	4
Estonia	1994	Russia	1
Estonia	1994	Poland	12
Estonia	1994	France	6
Estonia	1996	United Kingdom	2
Estonia	1996	Croatia	6
Estonia	1996	Austria	7
Estonia	1996	Norway	5
Estonia	1996	France	3
Estonia	1996	Netherlands	4
Estonia	1996	Belgium	1
Estonia	1996	Ireland	12
Estonia	1996	Iceland	8
Estonia	1996	Sweden	10
Estonia	1997	Cyprus	1
Estonia	1997	Turkey	6
Estonia	1997	Ireland	8
Estonia	1997	Slovenia	4
Estonia	1997	Poland	3
Estonia	1997	Hungary	5
Estonia	1997	Russia	7
Estonia	1997	France	12
Estonia	1997	United Kingdom	10
Estonia	1997	Iceland	2
Estonia	1998	Croatia	3
Estonia	1998	Israel	7
Estonia	1998	Germany	1
Estonia	1998	Malta	5
Estonia	1998	Ireland	2
Estonia	1998	United Kingdom	8
Estonia	1998	Sweden	12
Estonia	1998	Belgium	6
Estonia	1998	Finland	10
Estonia	1998	Norway	4
Estonia	1999	Lithuania	2
Estonia	1999	Belgium	5
Estonia	1999	Croatia	3
Estonia	1999	Denmark	6
Estonia	1999	Iceland	10
Estonia	1999	Sweden	12
Estonia	1999	Austria	8
Estonia	1999	Israel	4
Estonia	1999	Malta	1
Estonia	1999	Germany	7
Estonia	2000	United Kingdom	2
Estonia	2000	Malta	1
Estonia	2000	Norway	3
Estonia	2000	Russia	10
Estonia	2000	Iceland	6
Estonia	2000	Denmark	8
Estonia	2000	Sweden	5
Estonia	2000	Finland	7
Estonia	2000	Latvia	12
Estonia	2000	Ireland	4
Estonia	2001	Russia	4
Estonia	2001	Sweden	7
Estonia	2001	Latvia	8
Estonia	2001	Spain	3
Estonia	2001	France	10
Estonia	2001	Slovenia	5
Estonia	2001	Germany	1
Estonia	2001	Malta	2
Estonia	2001	Greece	6
Estonia	2001	Denmark	12
Estonia	2002	Cyprus	4
Estonia	2002	United Kingdom	6
Estonia	2002	Russia	10
Estonia	2002	Sweden	8
Estonia	2002	Finland	5
Estonia	2002	France	3
Estonia	2002	Germany	1
Estonia	2002	Malta	7
Estonia	2002	Latvia	12
Estonia	2002	Lithuania	2
Estonia	2003	Iceland	1
Estonia	2003	Austria	6
Estonia	2003	Germany	2
Estonia	2003	Russia	12
Estonia	2003	Ukraine	3
Estonia	2003	Norway	10
Estonia	2003	Poland	4
Estonia	2003	Latvia	5
Estonia	2003	Belgium	8
Estonia	2003	Sweden	7
Estonia	2004	Serbia & Montenegro	1
Estonia	2004	Malta	6
Estonia	2004	Netherlands	3
Estonia	2004	Germany	2
Estonia	2004	Ukraine	12
Estonia	2004	Russia	8
Estonia	2004	Greece	5
Estonia	2004	United Kingdom	4
Estonia	2004	Cyprus	7
Estonia	2004	Sweden	10
Estonia	2005	Hungary	3
Estonia	2005	Malta	4
Estonia	2005	Norway	8
Estonia	2005	Moldova	6
Estonia	2005	Israel	1
Estonia	2005	Denmark	5
Estonia	2005	Croatia	2
Estonia	2005	Russia	7
Estonia	2005	Switzerland	12
Estonia	2005	Latvia	10
Estonia	2006	Latvia	3
Estonia	2006	Denmark	1
Estonia	2006	Russia	10
Estonia	2006	Romania	4
Estonia	2006	Lithuania	8
Estonia	2006	United Kingdom	2
Estonia	2006	Finland	12
Estonia	2006	Ukraine	5
Estonia	2006	Ireland	6
Estonia	2006	Sweden	7
Estonia	2007	Ukraine	8
Estonia	2007	Russia	12
Estonia	2007	Bulgaria	1
Estonia	2007	Belarus	7
Estonia	2007	Hungary	4
Estonia	2007	Georgia	5
Estonia	2007	Latvia	10
Estonia	2007	Finland	6
Estonia	2007	Germany	3
Estonia	2007	France	2
Estonia	2008	Finland	10
Estonia	2008	Latvia	7
Estonia	2008	Sweden	2
Estonia	2008	Denmark	3
Estonia	2008	Georgia	5
Estonia	2008	Ukraine	4
Estonia	2008	France	6
Estonia	2008	Greece	1
Estonia	2008	Russia	12
Estonia	2008	Norway	8
Estonia	2009	Lithuania	2
Estonia	2009	Israel	5
Estonia	2009	Sweden	6
Estonia	2009	Portugal	3
Estonia	2009	Iceland	8
Estonia	2009	Russia	10
Estonia	2009	Azerbaijan	7
Estonia	2009	Albania	1
Estonia	2009	Norway	12
Estonia	2009	Finland	4
Estonia	2010	Norway	7
Estonia	2010	Belgium	3
Estonia	2010	Ireland	2
Estonia	2010	Georgia	8
Estonia	2010	Turkey	6
Estonia	2010	Iceland	4
Estonia	2010	France	1
Estonia	2010	Russia	10
Estonia	2010	Germany	12
Estonia	2010	Denmark	5
Finland	1975	Netherlands	10
Finland	1975	Ireland	1
Finland	1975	Luxembourg	5
Finland	1975	Switzerland	4
Finland	1975	United Kingdom	7
Finland	1975	Israel	3
Finland	1975	Monaco	2
Finland	1975	Spain	8
Finland	1975	Sweden	6
Finland	1975	Italy	12
Finland	1976	United Kingdom	10
Finland	1976	Switzerland	7
Finland	1976	Israel	8
Finland	1976	Belgium	12
Finland	1976	Greece	4
Finland	1976	Italy	6
Finland	1976	Austria	5
Finland	1976	Portugal	1
Finland	1976	Monaco	2
Finland	1976	France	3
Finland	1977	Monaco	5
Finland	1977	Austria	1
Finland	1977	Luxembourg	8
Finland	1977	United Kingdom	4
Finland	1977	Greece	6
Finland	1977	Switzerland	10
Finland	1977	Spain	7
Finland	1977	Italy	2
Finland	1977	Belgium	3
Finland	1977	France	12
Finland	1978	Ireland	3
Finland	1978	France	2
Finland	1978	Spain	7
Finland	1978	Switzerland	1
Finland	1978	Belgium	6
Finland	1978	Germany	12
Finland	1978	Monaco	8
Finland	1978	Greece	5
Finland	1978	Israel	10
Finland	1978	Sweden	4
Finland	1979	Portugal	2
Finland	1979	Italy	8
Finland	1979	Ireland	6
Finland	1979	Switzerland	10
Finland	1979	Germany	3
Finland	1979	Israel	12
Finland	1979	France	1
Finland	1979	Luxembourg	4
Finland	1979	Netherlands	5
Finland	1979	United Kingdom	7
Finland	1980	Austria	5
Finland	1980	Luxembourg	3
Finland	1980	Italy	6
Finland	1980	Denmark	7
Finland	1980	Switzerland	12
Finland	1980	Germany	2
Finland	1980	United Kingdom	4
Finland	1980	Portugal	1
Finland	1980	Netherlands	10
Finland	1980	Ireland	8
Finland	1981	Turkey	5
Finland	1981	Germany	7
Finland	1981	Luxembourg	4
Finland	1981	Israel	6
Finland	1981	Yugoslavia	8
Finland	1981	France	10
Finland	1981	United Kingdom	3
Finland	1981	Belgium	2
Finland	1981	Switzerland	12
Finland	1981	Sweden	1
Finland	1982	Portugal	2
Finland	1982	Luxembourg	7
Finland	1982	United Kingdom	4
Finland	1982	Turkey	1
Finland	1982	Cyprus	8
Finland	1982	Sweden	3
Finland	1982	Belgium	5
Finland	1982	Spain	6
Finland	1982	Israel	12
Finland	1982	Germany	10
Finland	1983	France	6
Finland	1983	Sweden	10
Finland	1983	Italy	1
Finland	1983	Greece	5
Finland	1983	Netherlands	3
Finland	1983	Yugoslavia	12
Finland	1983	Germany	4
Finland	1983	Israel	7
Finland	1983	Portugal	2
Finland	1983	Luxembourg	8
Finland	1984	Sweden	8
Finland	1984	Norway	6
Finland	1984	United Kingdom	4
Finland	1984	Belgium	10
Finland	1984	Ireland	7
Finland	1984	Denmark	5
Finland	1984	Yugoslavia	2
Finland	1984	Turkey	3
Finland	1984	Switzerland	1
Finland	1984	Italy	12
Finland	1985	Ireland	1
Finland	1985	Spain	8
Finland	1985	France	5
Finland	1985	Turkey	2
Finland	1985	Germany	10
Finland	1985	Italy	6
Finland	1985	Norway	4
Finland	1985	United Kingdom	7
Finland	1985	Switzerland	3
Finland	1985	Sweden	12
Finland	1986	Luxembourg	4
Finland	1986	United Kingdom	10
Finland	1986	Netherlands	3
Finland	1986	Spain	1
Finland	1986	Switzerland	7
Finland	1986	Ireland	8
Finland	1986	Belgium	12
Finland	1986	Germany	2
Finland	1986	Austria	6
Finland	1986	Sweden	5
Finland	1987	Norway	5
Finland	1987	Israel	7
Finland	1987	Belgium	3
Finland	1987	Italy	4
Finland	1987	Netherlands	2
Finland	1987	United Kingdom	1
Finland	1987	Germany	10
Finland	1987	Cyprus	6
Finland	1987	Denmark	8
Finland	1987	Ireland	12
Finland	1988	United Kingdom	10
Finland	1988	Israel	6
Finland	1988	Switzerland	5
Finland	1988	Ireland	2
Finland	1988	Denmark	4
Finland	1988	Norway	7
Finland	1988	Luxembourg	12
Finland	1988	Italy	8
Finland	1988	France	3
Finland	1988	Yugoslavia	1
Finland	1989	Italy	10
Finland	1989	Israel	5
Finland	1989	Netherlands	4
Finland	1989	United Kingdom	6
Finland	1989	Portugal	2
Finland	1989	Denmark	12
Finland	1989	Austria	1
Finland	1989	France	3
Finland	1989	Spain	8
Finland	1989	Yugoslavia	7
Finland	1990	Spain	10
Finland	1990	Iceland	7
Finland	1990	Israel	5
Finland	1990	Switzerland	3
Finland	1990	France	12
Finland	1990	Yugoslavia	1
Finland	1990	Ireland	4
Finland	1990	Italy	8
Finland	1990	Austria	2
Finland	1990	Cyprus	6
Finland	1991	Greece	1
Finland	1991	Switzerland	5
Finland	1991	Sweden	8
Finland	1991	France	10
Finland	1991	Ireland	2
Finland	1991	Portugal	7
Finland	1991	Israel	6
Finland	1991	Belgium	3
Finland	1991	Spain	4
Finland	1991	Italy	12
Finland	1992	Spain	3
Finland	1992	Greece	5
Finland	1992	France	7
Finland	1992	Portugal	2
Finland	1992	Cyprus	8
Finland	1992	United Kingdom	6
Finland	1992	Ireland	10
Finland	1992	Italy	12
Finland	1992	Yugoslavia	4
Finland	1992	Norway	1
Finland	1993	Italy	8
Finland	1993	Switzerland	4
Finland	1993	Greece	6
Finland	1993	Portugal	2
Finland	1993	France	1
Finland	1993	Sweden	7
Finland	1993	Ireland	3
Finland	1993	United Kingdom	5
Finland	1993	Spain	10
Finland	1993	Norway	12
Finland	1994	Ireland	7
Finland	1994	Cyprus	10
Finland	1994	Iceland	1
Finland	1994	Portugal	5
Finland	1994	Malta	6
Finland	1994	Germany	3
Finland	1994	Bosnia-Herzegovina	2
Finland	1994	Greece	4
Finland	1994	Hungary	12
Finland	1994	Poland	8
Finland	1996	Turkey	5
Finland	1996	Portugal	3
Finland	1996	Cyprus	6
Finland	1996	Switzerland	4
Finland	1996	Estonia	12
Finland	1996	Norway	7
Finland	1996	France	2
Finland	1996	Ireland	10
Finland	1996	Bosnia-Herzegovina	1
Finland	1996	Sweden	8
Finland	1998	Croatia	3
Finland	1998	Israel	10
Finland	1998	Germany	1
Finland	1998	Malta	5
Finland	1998	Slovenia	4
Finland	1998	United Kingdom	8
Finland	1998	Netherlands	7
Finland	1998	Sweden	6
Finland	1998	Norway	2
Finland	1998	Estonia	12
Finland	2000	Estonia	8
Finland	2000	Russia	5
Finland	2000	Denmark	10
Finland	2000	Germany	2
Finland	2000	Croatia	6
Finland	2000	Sweden	7
Finland	2000	Latvia	12
Finland	2000	Turkey	4
Finland	2000	Ireland	1
Finland	2000	Austria	3
Finland	2002	Cyprus	4
Finland	2002	United Kingdom	8
Finland	2002	Russia	3
Finland	2002	Estonia	10
Finland	2002	Macedonia	1
Finland	2002	Israel	5
Finland	2002	Sweden	7
Finland	2002	France	12
Finland	2002	Malta	2
Finland	2002	Latvia	6
Finland	2004	Serbia & Montenegro	10
Finland	2004	Albania	3
Finland	2004	Ukraine	8
Finland	2004	Croatia	1
Finland	2004	Russia	4
Finland	2004	Greece	6
Finland	2004	Iceland	2
Finland	2004	Cyprus	7
Finland	2004	Turkey	5
Finland	2004	Sweden	12
Finland	2005	Malta	8
Finland	2005	Norway	12
Finland	2005	Israel	5
Finland	2005	Denmark	2
Finland	2005	Sweden	6
Finland	2005	Croatia	1
Finland	2005	Greece	3
Finland	2005	Russia	7
Finland	2005	Switzerland	10
Finland	2005	Latvia	4
Finland	2006	Norway	5
Finland	2006	Denmark	3
Finland	2006	Russia	12
Finland	2006	Romania	6
Finland	2006	Bosnia-Herzegovina	10
Finland	2006	Lithuania	8
Finland	2006	Greece	1
Finland	2006	Ukraine	2
Finland	2006	Ireland	4
Finland	2006	Sweden	7
Finland	2007	Serbia	12
Finland	2007	Ukraine	6
Finland	2007	Russia	3
Finland	2007	Turkey	4
Finland	2007	Bulgaria	5
Finland	2007	Hungary	10
Finland	2007	Moldova	2
Finland	2007	Georgia	7
Finland	2007	Sweden	8
Finland	2007	Germany	1
Finland	2008	Bosnia-Herzegovina	6
Finland	2008	Israel	8
Finland	2008	Iceland	7
Finland	2008	Turkey	4
Finland	2008	Sweden	5
Finland	2008	Ukraine	3
Finland	2008	France	2
Finland	2008	Spain	1
Finland	2008	Russia	10
Finland	2008	Norway	12
Finland	2009	France	4
Finland	2009	Sweden	7
Finland	2009	Iceland	10
Finland	2009	Armenia	1
Finland	2009	Azerbaijan	2
Finland	2009	Bosnia-Herzegovina	6
Finland	2009	Malta	3
Finland	2009	Estonia	12
Finland	2009	Turkey	5
Finland	2009	Norway	8
Finland	2010	Spain	4
Finland	2010	Belgium	6
Finland	2010	Ireland	1
Finland	2010	Greece	7
Finland	2010	Turkey	3
Finland	2010	Iceland	5
Finland	2010	France	8
Finland	2010	Germany	12
Finland	2010	Israel	10
Finland	2010	Denmark	2
France	1975	Netherlands	5
France	1975	Ireland	6
France	1975	Luxembourg	3
France	1975	Switzerland	10
France	1975	United Kingdom	12
France	1975	Malta	8
France	1975	Israel	1
France	1975	Portugal	2
France	1975	Sweden	7
France	1975	Italy	4
France	1976	United Kingdom	7
France	1976	Switzerland	6
France	1976	Germany	2
France	1976	Belgium	5
France	1976	Ireland	3
France	1976	Greece	8
France	1976	Spain	1
France	1976	Italy	10
France	1976	Portugal	12
France	1976	Yugoslavia	4
France	1977	Ireland	10
France	1977	Monaco	5
France	1977	Netherlands	8
France	1977	Germany	1
France	1977	Portugal	6
France	1977	United Kingdom	12
France	1977	Greece	3
France	1977	Israel	2
France	1977	Italy	7
France	1977	Finland	4
France	1978	Ireland	5
France	1978	Italy	4
France	1978	United Kingdom	2
France	1978	Switzerland	7
France	1978	Belgium	12
France	1978	Monaco	1
France	1978	Greece	10
France	1978	Denmark	6
France	1978	Israel	8
France	1978	Sweden	3
France	1979	Portugal	10
France	1979	Denmark	6
France	1979	Finland	5
France	1979	Monaco	3
France	1979	Greece	4
France	1979	Switzerland	7
France	1979	Germany	12
France	1979	Israel	1
France	1979	Luxembourg	2
France	1979	Spain	8
France	1980	Austria	4
France	1980	Luxembourg	7
France	1980	Italy	2
France	1980	Finland	1
France	1980	Norway	3
France	1980	Germany	10
France	1980	United Kingdom	5
France	1980	Portugal	6
France	1980	Netherlands	12
France	1980	Ireland	8
France	1981	Austria	5
France	1981	Germany	8
France	1981	Luxembourg	3
France	1981	Denmark	4
France	1981	Finland	1
France	1981	Netherlands	2
France	1981	Ireland	6
France	1981	United Kingdom	7
France	1981	Switzerland	10
France	1981	Sweden	12
France	1983	United Kingdom	5
France	1983	Sweden	6
France	1983	Italy	7
France	1983	Finland	1
France	1983	Greece	3
France	1983	Netherlands	2
France	1983	Germany	10
France	1983	Israel	8
France	1983	Portugal	4
France	1983	Luxembourg	12
France	1984	Sweden	6
France	1984	Spain	10
France	1984	Cyprus	1
France	1984	Belgium	12
France	1984	Ireland	3
France	1984	Denmark	8
France	1984	Netherlands	7
France	1984	Yugoslavia	2
France	1984	Germany	4
France	1984	Finland	5
France	1985	Ireland	3
France	1985	Denmark	10
France	1985	Germany	8
France	1985	Israel	12
France	1985	Italy	5
France	1985	Norway	2
France	1985	United Kingdom	6
France	1985	Sweden	7
France	1985	Austria	1
France	1985	Luxembourg	4
France	1986	Luxembourg	8
France	1986	Norway	4
France	1986	United Kingdom	10
France	1986	Spain	6
France	1986	Switzerland	7
France	1986	Israel	1
France	1986	Ireland	3
France	1986	Belgium	12
France	1986	Sweden	2
France	1986	Denmark	5
France	1987	Norway	4
France	1987	Israel	10
France	1987	Sweden	3
France	1987	Greece	7
France	1987	Netherlands	12
France	1987	Germany	6
France	1987	Cyprus	5
France	1987	Denmark	8
France	1987	Ireland	1
France	1987	Yugoslavia	2
France	1988	Iceland	2
France	1988	Turkey	6
France	1988	Israel	10
France	1988	Switzerland	1
France	1988	Ireland	4
France	1988	Denmark	12
France	1988	Greece	7
France	1988	Belgium	5
France	1988	Italy	8
France	1988	Yugoslavia	3
France	1989	Netherlands	7
France	1989	United Kingdom	12
France	1989	Norway	4
France	1989	Sweden	2
France	1989	Luxembourg	5
France	1989	Denmark	6
France	1989	Finland	10
France	1989	Spain	8
France	1989	Greece	1
France	1989	Yugoslavia	3
France	1990	Spain	5
France	1990	Belgium	8
France	1990	Netherlands	6
France	1990	Luxembourg	12
France	1990	United Kingdom	10
France	1990	Switzerland	1
France	1990	Yugoslavia	2
France	1990	Ireland	7
France	1990	Italy	4
France	1990	Austria	3
France	1991	Malta	2
France	1991	Switzerland	4
France	1991	Turkey	7
France	1991	Portugal	10
France	1991	Israel	3
France	1991	Belgium	5
France	1991	Spain	6
France	1991	United Kingdom	1
France	1991	Cyprus	12
France	1991	Italy	8
France	1992	Spain	6
France	1992	Belgium	3
France	1992	Israel	8
France	1992	Greece	7
France	1992	Sweden	1
France	1992	Cyprus	2
France	1992	United Kingdom	10
France	1992	Italy	12
France	1992	Yugoslavia	5
France	1992	Netherlands	4
France	1993	Italy	5
France	1993	Switzerland	12
France	1993	Greece	7
France	1993	Malta	2
France	1993	Austria	3
France	1993	Portugal	8
France	1993	Ireland	10
France	1993	Bosnia-Herzegovina	4
France	1993	United Kingdom	6
France	1993	Israel	1
France	1994	Ireland	8
France	1994	Cyprus	3
France	1994	Iceland	4
France	1994	Portugal	6
France	1994	Switzerland	5
France	1994	Bosnia-Herzegovina	10
France	1994	Spain	2
France	1994	Hungary	7
France	1994	Russia	1
France	1994	Poland	12
France	1995	Ireland	1
France	1995	Norway	10
France	1995	Iceland	2
France	1995	Austria	8
France	1995	Spain	7
France	1995	United Kingdom	12
France	1995	Portugal	4
France	1995	Sweden	3
France	1995	Malta	6
France	1995	Greece	5
France	1996	Turkey	4
France	1996	United Kingdom	8
France	1996	Portugal	5
France	1996	Cyprus	2
France	1996	Austria	12
France	1996	Estonia	1
France	1996	Norway	7
France	1996	Netherlands	10
France	1996	Ireland	6
France	1996	Sweden	3
France	1997	Cyprus	4
France	1997	Turkey	6
France	1997	Ireland	10
France	1997	Slovenia	7
France	1997	Spain	2
France	1997	Poland	3
France	1997	Estonia	8
France	1997	Malta	1
France	1997	Hungary	5
France	1997	United Kingdom	12
France	1998	Croatia	8
France	1998	Spain	4
France	1998	Poland	2
France	1998	Israel	12
France	1998	Malta	6
France	1998	Hungary	1
France	1998	Portugal	10
